text,category,overall_score,task_clarity,context_score,specificity,role_definition,output_format,examples,constraints
"Can you build a model to classify text as spam or not spam using a dataset of 100,000 messages?",Machine Learning,32,12,5,10,0,0,0,5
Create a Python script that takes a list of strings and returns the strings that contain the word 'python'.,General,32,12,0,10,0,10,0,0
"Describe a city that exists in a state of perpetual darkness. Write in the style of a horror novel, focusing on the theme of fear and survival.",Writing,54,12,10,12,5,10,0,5
"Develop a technical documentation for a new software application that enables users to manage their finances and track their expenses. The document should be 5-7 pages long, written in a technical tone, and include details on implementation, usage, and troubleshooting. Assume an audience with a background in computer science.",Writing,62,12,10,13,5,10,0,12
Write a shell script to backup MySQL database to S3. Use mysql2s3 tool and ensure data is encrypted. The script should be run as cron job daily. quality: excellent,DevOps,39,12,10,12,0,0,0,5
Write a C++ function to calculate the factorial of a given integer using recursion.,Programming,30,15,0,15,0,0,0,0
Create a predictive model to forecast the stock prices of a company based on historical data and technical indicators.,Machine Learning,49,12,10,12,5,10,0,0
"Design a MySQL database schema for a social media platform, including entity relationship diagrams and indexing strategies.",Research,40,15,10,10,0,5,0,0
Explain the difference between a hypothesis and a theory in scientific research.,Writing,35,15,10,10,0,0,0,0
Can you do that thing with the data?,Machine Learning,0,0,0,0,0,0,0,0
Implement a model to predict customer satisfaction based on demographic data and purchase history.,Machine Learning,22,12,0,10,0,0,0,0
Write a technical whitepaper on a new datacenter architecture. Include design principles and performance metrics.,Writing,32,12,0,10,0,10,0,0
Research and compare the performance of different regression algorithms on a dataset of continuous values. Consider metrics such as mean squared error and coefficient of determination.,Research,27,12,5,10,0,0,0,0
Build a model to classify text into different categories based on its sentiment and tone. The model should be able to handle text of varying lengths and formats. Use a dataset from a reputable source and evaluate the model's performance using accuracy and precision metrics.,Machine Learning,59,12,10,12,5,10,0,10
I want to make a JavaScript program that sorts an array of strings alphabetically.,General,22,12,0,10,0,0,0,0
"Write a 3-page historical narrative about the rise of the Renaissance in Europe. Include key figures, events, and cultural developments that shaped the movement's success. Format the text as a descriptive essay with a clear structure and logical progression of ideas. Assume an audience with a background in art history.",Writing,55,12,10,12,5,12,0,5
Write a Java program to find the minimum value in an array of integers.,Programming,35,15,5,15,0,0,0,0
Write a poem about nature.,Writing,5,5,0,0,0,0,0,0
