text,category,quality
"Write a Python function to convert JSON data to CSV format, considering nested objects and arrays, and handle missing values by replacing them with 'NaN'. Ensure the output is in UTF-8 encoding and add headers with 'json_key' prefix.",Programming,excellent
Build a RESTful API using Django to manage a list of books with CRUD operations. Include user authentication and authorization. The API should be documented using Swagger.,Programming,excellent
"Implement a Java method to sort an array of custom objects based on multiple fields, using a Comparator. The objects have the following properties: name (String), age (int), and salary (double).",Programming,excellent
"Create a React component to display a list of products with images, names, and prices. Use Redux for state management and handle pagination.",Programming,excellent
Write a Bash script to automate the deployment of a Flask application to a remote server using SSH. Handle potential errors and include logging capabilities.,Programming,excellent
"Use a TensorFlow model to predict house prices based on features such as number of bedrooms, square footage, and location. Train the model on a dataset of 1000 samples and evaluate its performance on a test set.",Programming,excellent
"Implement a simple chatbot using Python and the NLTK library to respond to basic user queries, such as 'hello' or 'what is your name'. Include a list of keywords and corresponding responses.",Programming,good
Build a Node.js module to handle HTTP requests to a database using PostgreSQL. Return the results in JSON format.,Programming,good
Write a C++ function to calculate the factorial of a given integer using recursion.,Programming,good
Use a PHP library to connect to a MySQL database and fetch data from a table named 'users'. Handle potential errors.,Programming,good
Create a JavaFX GUI application to display a table of data with columns and rows.,Programming,good
Write a Python script to scrape data from a website using BeautifulSoup and store it in a CSV file.,Programming,good
Implement a simple login system using Python and the SQLite database to store user credentials.,Programming,good
Use a Python library to send emails using SMTP and include attachments.,Programming,good
Write a Bash script to automate the installation of a Java project using Maven.,Programming,good
Create a simple game using JavaScript and the Phaser library. Include characters that can move around the screen.,Programming,good
"Implement a data structure to store a list of elements in Python, with methods to add, remove, and search for elements.",Programming,good
Use a PHP framework to create a simple web application with a home page and a login page.,Programming,good
Write a Java method to find the maximum value in an array of integers.,Programming,good
Implement a simple to-do list using Python and the Tkinter library.,Programming,good
Create a simple calculator using JavaScript and HTML/CSS.,Programming,good
Write a C++ program to find the sum of all elements in an array.,Programming,good
Build a simple GUI application using Python and the tkinter library to display a list of items and allow users to add or remove items.,Programming,good
Implement a simple queue data structure in Python.,Programming,good
Create a simple chat application using Python and the socket library.,Programming,good
Write a Java program to find the factorial of a given integer.,Programming,good
Use a Python library to connect to a MongoDB database and perform CRUD operations.,Programming,good
Implement a simple stack data structure in Python.,Programming,good
Write a Bash script to automate the deployment of a Node.js application to a remote server using SSH.,Programming,good
Create a simple game using Python and the Pygame library. Include characters that can move around the screen.,Programming,good
Build a simple RESTful API using Node.js and Express.js to manage a list of books.,Programming,good
Implement a simple binary search algorithm in Java.,Programming,good
Use a Python library to send emails using SMTP and include attachments.,Programming,good
Write a Java program to find the minimum value in an array of integers.,Programming,good
Create a simple to-do list using JavaScript and HTML/CSS.,Programming,good
Write a C++ program to find the average value of all elements in an array.,Programming,good
Implement a simple queue data structure in Java.,Programming,good
Use a Python library to connect to a PostgreSQL database and perform CRUD operations.,Programming,good
Create a simple GUI application using JavaScript and the DOM library to display a list of items and allow users to add or remove items.,Programming,good
Write a Bash script to automate the installation of a Python project using pip.,Programming,good
Implement a simple binary search algorithm in Python.,Programming,good
Use a PHP framework to create a simple web application with a home page and a login page.,Programming,good
Write a Java program to find the sum of all elements in an array.,Programming,good
Create a simple chatbot using JavaScript and the Watson API to respond to basic user queries.,Programming,good
Write a C++ program to find the maximum value in an array of integers.,Programming,good
Implement a simple stack data structure in Java.,Programming,good
Use a Python library to connect to a SQLite database and perform CRUD operations.,Programming,good
Create a simple GUI application using Python and the Tkinter library to display a list of items and allow users to add or remove items.,Programming,good
Write a Bash script to automate the deployment of a Python application to a remote server using SSH.,Programming,good
Implement a simple queue data structure in C++.,Programming,good
Use a PHP library to connect to a MySQL database and fetch data from a table named 'users'.,Programming,poor
Write a Java program to sort an array of integers.,Programming,poor
Create a simple chat application using Python and the socket library.,Programming,poor
Implement a simple binary search algorithm in C++.,Programming,poor
Use a Python library to send emails using SMTP.,Programming,poor
Write a C++ program to find the average value of all elements in an array.,Programming,poor
Create a simple GUI application using JavaScript and the DOM library to display a list of items and allow users to add or remove items.,Programming,poor
Implement a simple stack data structure in Python.,Programming,poor
Use a PHP framework to create a simple web application.,Programming,poor
Write a Java program to find the maximum value in an array of integers.,Programming,poor
Create a simple to-do list using JavaScript and HTML/CSS.,Programming,poor
Write a C++ program to find the sum of all elements in an array.,Programming,poor
Implement a simple queue data structure in Java.,Programming,poor
Use a Python library to connect to a PostgreSQL database.,Programming,poor
Create a simple game using Python and the Pygame library. Include characters that can move around the screen.,Programming,poor
Write a Java program to find the minimum value in an array of integers.,Programming,poor
Implement a simple binary search algorithm in Python.,Programming,poor
Use a PHP library to connect to a MySQL database.,Programming,poor
Create a simple chatbot using JavaScript and the Watson API to respond to basic user queries.,Programming,poor
Write a C++ program to find the average value of all elements in an array.,Programming,poor
Implement a simple stack data structure in C++.,Programming,poor
Use a Python library to send emails using SMTP and include attachments.,Programming,poor
Write a Bash script to automate the deployment of a Node.js application to a remote server using SSH.,Programming,poor
Create a simple GUI application using JavaScript and the DOM library to display a list of items and allow users to add or remove items.,Programming,poor
Implement a simple queue data structure in Python.,Programming,poor
Use a PHP framework to create a simple web application with a home page and a login page.,Programming,poor
Write a Java program to find the sum of all elements in an array.,Programming,poor
Create a simple to-do list using Python and the Tkinter library.,Programming,poor
Write a C++ program to find the maximum value in an array of integers.,Programming,poor
Implement a simple binary search algorithm in Java.,Programming,poor
Use a Python library to connect to a SQLite database and perform CRUD operations.,Programming,poor
Write a Python function to implement a singly linked list node with methods for inserting at the beginning and end of the list. The function should be able to handle lists of varying lengths and data types.,Programming,excellent
"Create a Java class for a simple bank account with methods to deposit, withdraw, and check the balance. Ensure the account can handle multiple transactions and provide a clear error message for insufficient funds.",Programming,excellent
Design a C++ function to find the first duplicate in an array of integers. The function should iterate through the array once and provide the index of the duplicate element.,Programming,excellent
Develop a JavaScript script to scrape the titles of all articles on a given webpage using the Cheerio library.,Programming,excellent
Write a Ruby function to calculate the sum of all even numbers in an array while excluding any array elements that are greater than 10.,Programming,excellent
"Implement a Python class for a basic calculator that supports addition, subtraction, multiplication, and division operations.",Programming,good
Create a Java method to count the number of vowels in a given string.,Programming,good
Design a Python function to reverse a given string without using the built-in reverse function.,Programming,good
Develop a JavaScript function to find the maximum sum of a subarray within a given array of integers.,Programming,good
Write a PHP script to display 'Hello World' on the browser.,Programming,good
Create a Python method to sort a list of integers in ascending order using the bubble sort algorithm.,Programming,good
Design a C++ function to swap two numbers without using a temporary variable.,Programming,good
"Implement a Java class for a stack with methods for push, pop, and peek operations.",Programming,good
Develop a JavaScript function to find the first pair of duplicate elements in an array.,Programming,good
Write a Ruby method to check if a given number is prime or not.,Programming,good
Create a Python function to calculate the area and perimeter of a circle.,Programming,good
Implement a Java method to find the maximum and minimum elements in an array.,Programming,good
Design a C++ function to merge two sorted arrays into a single sorted array.,Programming,good
Write a Python script to convert a string to uppercase.,Programming,good
Develop a JavaScript function to find the sum of all elements in a given array.,Programming,good
Create a PHP script to display 'Hello World' on the browser.,Programming,good
Implement a Java class for a queue with methods for enqueue and dequeue operations.,Programming,good
Design a Python function to check if a given string is a palindrome or not.,Programming,good
Write a Ruby method to find the factorial of a given number.,Programming,good
Create a Java method to count the number of words in a given string.,Programming,good
Develop a JavaScript function to find the maximum and minimum elements in an array.,Programming,good
"Implement a Java class for a binary search tree with methods for insert, delete, and search operations.",Programming,good
Design a Python function to find the first non-repeating character in a given string.,Programming,good
Write a Ruby method to check if a given number is odd or even.,Programming,good
Create a Python function to calculate the Fibonacci series up to the nth term.,Programming,good
Implement a Java method to find the maximum and minimum elements in a 2D array.,Programming,good
Design a C++ function to find the first and last occurrences of a given element in an array.,Programming,good
Write a JavaScript script to check if a given number is a perfect square or not.,Programming,good
Create a PHP function to calculate the sum of all even numbers in an array.,Programming,good
Develop a Python script to check if a given string is a valid email or not.,Programming,good
"Implement a Java class for a graph with methods for add edge, remove edge, and display adjacency list operations.",Programming,good
Design a Java function to find the first duplicate in an array of integers.,Programming,good
Write a Ruby method to count the number of vowels in a given string.,Programming,good
Create a Python function to reverse a given string.,Programming,good
Implement a JavaScript function to find the maximum sum of a subarray within a given array of integers.,Programming,good
"Design a Java class for a simple bank account with methods to deposit, withdraw, and check the balance.",Programming,good
Write a C++ function to find the first non-repeating character in a given string.,Programming,good
Develop a Python script to display 'Hello World' on the browser.,Programming,good
Implement a Java method to find the maximum and minimum elements in an array.,Programming,good
Design a Python function to check if a given string is a palindrome or not.,Programming,good
Write a JavaScript function to find the sum of all elements in a given array.,Programming,good
Create a Ruby method to calculate the area and perimeter of a circle.,Programming,good
Implement a Java class for a queue with methods for enqueue and dequeue operations.,Programming,good
Design a C++ function to find the first and last occurrences of a given element in an array.,Programming,good
Write a PHP function to check if a given number is a prime or not.,Programming,good
Create a Python script to calculate the sum of all odd numbers in an array.,Programming,good
Develop a JavaScript function to find the maximum sum of a subarray within a given array of integers.,Programming,good
Implement a Java method to find the first non-repeating character in a given string.,Programming,good
Design a Ruby function to count the number of words in a given string.,Programming,good
Write a Python function to find the maximum and minimum elements in a 2D array.,Programming,good
Create a Java script to display 'Hello World' on the browser.,Programming,poor
"Design a C++ class to implement a basic calculator that supports addition, subtraction, multiplication, and division operations.",Programming,poor
Implement a Python function to find the first duplicate in an array of integers.,Programming,poor
Write a JavaScript function to count the number of vowels in a given string.,Programming,poor
"Create a Java class for a binary search tree with methods for insert, delete, and search operations.",Programming,poor
Design a Ruby method to calculate the Fibonacci series up to the nth term.,Programming,poor
Write a PHP function to find the maximum and minimum elements in an array.,Programming,poor
Create a Python script to find the first non-repeating character in a given string.,Programming,poor
Develop a JavaScript function to check if a given number is a perfect square or not.,Programming,poor
Implement a Java method to find the sum of all even numbers in an array.,Programming,poor
Design a C++ function to find the first pair of duplicate elements in an array.,Programming,poor
Write a Python function to swap two numbers without using a temporary variable.,Programming,poor
Create a Java script to check if a given string is a palindrome or not.,Programming,poor
Develop a Ruby function to count the number of words in a given string.,Programming,poor
Implement a JavaScript function to find the first non-repeating element in a given string.,Programming,poor
Design a PHP function to calculate the sum of all odd numbers in an array.,Programming,poor
Write a Python method to check if a given number is a prime or not.,Programming,poor
"Create a Java class for a simple bank account with methods to deposit, withdraw, and check the balance.",Programming,poor
Develop a JavaScript function to find the first and last occurrences of a given element in an array.,Programming,poor
Write a Python script to automate deploying a Django application to a Heroku server using Git,Programming,excellent
Can you implement a recursive binary search algorithm in JavaScript,Programming,good
Create a Python function to find the maximum value from a list of lists,Programming,good
"Design a SQL database schema for an e-commerce website with tables for customers, products, orders and order items",Programming,excellent
Develop a Python program to scrape data from a website and save it to a CSV file,Programming,good
Write a TypeScript function to find the minimum value in a sorted array,Programming,good
Implement a Python class to represent a bank account with methods to deposit and withdraw money,Programming,excellent
Create a Java program to find the factorial of a number,Programming,good
Develop a C++ program to perform matrix multiplication,Programming,excellent
Design a RESTful API using Flask to handle user registration and login,Programming,excellent
Can you write a Python function to flatten a nested list,Programming,good
Implement a Python program to find the longest common subsequence between two strings,Programming,good
Create a Python function to find the sum of all elements in a list,Programming,good
"Design a database schema for a social media platform with tables for users, posts, comments and likes",Programming,excellent
Develop a Java program to perform bubble sort on an array of integers,Programming,good
Write a Go program to find the maximum value in a slice of integers,Programming,excellent
Implement a Python program to find the first duplicate value in a list,Programming,good
Create a C++ program to perform binary search on an array of integers,Programming,good
Design a microservice architecture using Python and Flask for a web application,Programming,excellent
Can you write a Python function to find the second maximum value in a list,Programming,good
Develop a Ruby program to perform insertion sort on an array of integers,Programming,good
Implement a Python program to find the minimum value in a sorted list,Programming,good
Create a Java program to find the middle value of an array of integers,Programming,good
"Design a database schema for a travel agency with tables for customers, bookings, flights and hotels",Programming,excellent
Develop a Python program to perform quicksort on a list of integers,Programming,excellent
Write a TypeScript program to find the average value of an array of integers,Programming,good
Implement a Python function to find the length of the longest word in a string,Programming,good
Create a C++ program to perform heap sort on an array of integers,Programming,excellent
Design a RESTful API using Node.js and Express to handle user data storage and retrieval,Programming,excellent
Can you write a Python function to find the product of all elements in a list,Programming,good
Develop a Python program to perform merge sort on a list of integers,Programming,excellent
Implement a Python program to find the second minimum value in a list,Programming,good
Create a Java program to find the sum of all elements in a 2D array,Programming,good
Design a microservice architecture using Node.js and Express for a real-time analytics application,Programming,excellent
Develop a Python program to perform selection sort on an array of integers,Programming,good
Write a Go program to find the maximum value in a slice of strings,Programming,good
Implement a Python function to find the minimum value in a list of complex numbers,Programming,good
Create a C++ program to perform shell sort on an array of integers,Programming,excellent
Can you write a Python function to find the middle value of a list,Programming,good
Develop a Python program to perform Radix sort on a list of integers,Programming,excellent
Implement a Python function to find the length of the longest substring without repeating characters,Programming,good
"Design a database schema for a music streaming platform with tables for users, songs, playlists and ratings",Programming,excellent
Create a JavaScript program to perform heap sort on an array of integers,Programming,good
Can you write a Python function to find the product of all elements in a 2D list,Programming,good
Develop a Python program to perform counting sort on a list of integers,Programming,good
Implement a Python function to find the minimum value in a list of floating point numbers,Programming,good
Create a Java program to find the sum of all elements in a 2D array using recursion,Programming,good
Design a RESTful API using Django and Django Rest Framework to handle user authentication and authorization,Programming,excellent
Write a Python function that generates a random binary tree with 100 nodes and prints the pre-order traversal.,Programming,excellent
"Create a C++ class for a bank account with methods to deposit, withdraw, and check balance. Use a text file to save account data.",Programming,excellent
Design a REST API using Flask to handle CRUD operations for a collection of users. Include authentication and authorization.,Programming,excellent
"Write a Java program that simulates a traffic light system with three colors: red, yellow, and green. Use threads to implement the simulation.",Programming,good
Develop a simple chatbot using Node.js and the Discord.js library. Allow users to send messages and perform basic commands.,Programming,good
Create a Rust program that implements a simple calculator. Allow users to input mathematical expressions and evaluate them.,Programming,good
Write a PHP script to connect to a MySQL database and retrieve all user data.,Programming,poor
Design a JavaScript application that can handle user authentication.,Programming,poor
Develop a Python program to perform sentiment analysis on a given text. Use a pre-trained model.,Programming,excellent
"Create a C++ class for a stack with push, pop, and peek operations.",Programming,excellent
Write a Python script to scrape a website and extract all product information.,Programming,good
Implement a simple queue in Java using a linked list.,Programming,good
Develop a Python program to optimize a given list of integers using the greedy algorithm.,Programming,excellent
"Design a C++ class for a hash table with insert, delete, and search operations.",Programming,excellent
Write a Java program to simulate a bank account system with multiple users.,Programming,good
Create a Ruby program that connects to a SQLite database and performs CRUD operations.,Programming,good
Implement a binary search algorithm in Python.,Programming,excellent
Design a REST API using Django to handle user registration and login.,Programming,excellent
Write a PHP program to connect to a MySQL database and perform a query.,Programming,poor
Develop a JavaScript application that can handle user authentication using OAuth.,Programming,good
Create a Python program to perform image processing using OpenCV.,Programming,excellent
Implement a stack using a linked list in C++.,Programming,good
"Write a Java program to simulate a traffic light system with three colors: red, yellow, and green.",Programming,good
"Design a C++ class for a priority queue with insert, delete, and peek operations.",Programming,excellent
Develop a Python program to optimize a given list of integers using dynamic programming.,Programming,excellent
Create a C library to implement a simple calculator.,Programming,good
Write a Python script to scrape a website and extract all product information using BeautifulSoup.,Programming,good
Implement a queue in Java using a linked list.,Programming,good
Design a Python program to simulate a bank account system with multiple users.,Programming,excellent
"Write a C++ program to implement a simple queue with enqueue, dequeue, and is_empty operations.",Programming,good
Develop a JavaScript application that can handle user authentication using JWT.,Programming,good
Create a Python program to perform sentiment analysis on a given text using a pre-trained model.,Programming,excellent
Implement a binary search tree in Python.,Programming,excellent
"Design a C++ class for a binary search tree with insert, delete, and search operations.",Programming,excellent
Write a PHP program to connect to a MySQL database and perform CRUD operations.,Programming,poor
Develop a Python program to optimize a given list of integers using the greedy algorithm.,Programming,excellent
Create a C++ program to implement a simple calculator.,Programming,good
Implement a stack using a linked list in Python.,Programming,good
"Write a Java program to simulate a traffic light system with three colors: red, yellow, and green.",Programming,good
Design a JavaScript application that can handle user authentication.,Programming,poor
Develop a Python program to perform image processing using OpenCV.,Programming,excellent
Create a C++ class for a simple calculator.,Programming,good
Implement a binary search algorithm in C++.,Programming,excellent
Write a Python script to scrape a website and extract all product information.,Programming,good
Create a Python function to calculate the average rating of products in an e-commerce platform given a list of product IDs and corresponding ratings. The function should handle missing ratings and return a dictionary with product IDs as keys and average ratings as values.,Programming,excellent
"Build a Node.js API to authenticate users using JSON Web Tokens (JWT). The API should handle user registration, login, and authentication verification. Implement password hashing and salting using bcrypt.",Programming,excellent
"Design a data structure to store and retrieve employee information in a company's HR system. The data structure should include employee ID, name, department, and role. Implement methods to add, update, and delete employee records.",Programming,excellent
"Write a Java program to read a text file and extract sentences containing a specific keyword. The program should ignore case and punctuation, and return the extracted sentences in a list.",Programming,good
Create a C++ function to calculate the factorial of a given integer. The function should handle negative numbers and return an error message.,Programming,good
"Implement a Python script to scrape product information from an e-commerce website using BeautifulSoup and requests. The script should extract product names, prices, and descriptions.",Programming,good
Design a JavaScript function to convert Celsius to Fahrenheit given a temperature in Celsius.,Programming,poor
Create a Python script to print the sum of numbers in a list.,Programming,poor
Build a C++ program to simulate a coin toss and display the result.,Programming,good
Create a JavaScript function to sort an array of numbers in ascending order.,Programming,poor
"Implement a Java class to represent a person with properties for name, age, and address. The class should include methods to get and set these properties.",Programming,excellent
"Write a Python function to generate a random password of a specified length. The function should include uppercase and lowercase letters, numbers, and special characters.",Programming,good
Design a C++ program to solve a system of linear equations using Gaussian elimination.,Programming,excellent
Create a PHP script to connect to a MySQL database and execute a query to retrieve all rows from a table.,Programming,good
Implement a JavaScript function to validate a password based on certain conditions.,Programming,poor
Build a Java program to simulate a banking system with methods to deposit and withdraw money.,Programming,good
Create a Python script to read a CSV file and display the header row and first 10 rows of data.,Programming,poor
Design a Python function to convert a decimal number to binary using bitwise operations.,Programming,excellent
Write a C++ function to calculate the greatest common divisor (GCD) of two integers using the Euclidean algorithm.,Programming,good
"Implement a JavaScript class to represent a bank account with properties for account number, balance, and owner. The class should include methods to deposit and withdraw money.",Programming,excellent
